condition,degradation_ratio,yolo_label,objects,prototype_accuracy,head_accuracy,avg_prototype_similarity,avg_head_confidence
clean,0.0,Guard rail,4.0,0.0,0.0,0.5007307976484299,0.3779867503710158
clean,0.0,Electrical Box,2.0,0.0,0.0,0.5973150730133057,0.657981710086935
clean,0.0,Pedestrian crosswalk,2.0,0.0,0.0,0.5252303183078766,0.406562526180376
clean,0.0,Building,1.0,0.0,0.0,0.5822494029998779,0.3562733411051539
clean,0.0,Dog,4.0,0.5,0.5,0.6054964140057564,0.5690714578585764
clean,0.0,Bus,2.0,0.0,0.5,0.6060783267021179,0.620531474561248
clean,0.0,Traffic Cone,3.0,0.3333333333333333,0.6666666666666666,0.6311555504798889,0.6942721989772326
clean,0.0,Manhole,6.0,0.6666666666666666,0.8333333333333334,0.5951981246471405,0.8482536621902891
clean,0.0,Car,6.0,1.0,1.0,0.5484949251015981,0.9411292101479604
clean,0.0,Dustbin,4.0,1.0,1.0,0.675935834646225,0.8626153592656701
clean,0.0,Tree,4.0,1.0,1.0,0.69109708070755,0.9796490915865536
clean,0.0,Chair,2.0,1.0,1.0,0.7795376777648926,0.9689294615746684
clean,0.0,Motorcycle,2.0,1.0,1.0,0.6918109357357025,0.8585779107136232
clean,0.0,Stairs,2.0,0.5,1.0,0.6046960204839706,0.6311703291752002
clean,0.0,Traffic sign,2.0,0.5,1.0,0.5846355557441711,0.5235608447194644
clean,0.0,Bench,1.0,1.0,1.0,0.4888902008533478,0.25694453483032137
clean,0.0,Person,1.0,1.0,1.0,0.6794545650482178,0.927923186462618
clean,0.0,Truck,1.0,1.0,1.0,0.767227292060852,0.8980989000222858
pixel_25,0.25,Guard rail,4.0,0.0,0.0,0.5060435906052589,0.3817939976554261
pixel_25,0.25,Chair,2.0,0.0,0.0,0.5028815418481827,0.4405787266796596
pixel_25,0.25,Electrical Box,2.0,0.0,0.0,0.5578868389129639,0.3503816153265319
pixel_25,0.25,Pedestrian crosswalk,2.0,0.0,0.0,0.49466104805469513,0.4540846188126981
pixel_25,0.25,Bench,1.0,1.0,0.0,0.4689970910549164,0.19833899211658823
pixel_25,0.25,Building,1.0,0.0,0.0,0.6392840147018433,0.5640235423329661
pixel_25,0.25,Dog,4.0,0.5,0.5,0.5676071271300316,0.5183091071679748
pixel_25,0.25,Bus,2.0,0.0,0.5,0.6212767958641052,0.6123019619051159
pixel_25,0.25,Traffic sign,2.0,0.5,0.5,0.5528852194547653,0.35257101297852966
pixel_25,0.25,Manhole,6.0,0.6666666666666666,0.6666666666666666,0.6153233746687571,0.7564586568561137
pixel_25,0.25,Car,6.0,1.0,1.0,0.572892944018046,0.923919211942691
pixel_25,0.25,Dustbin,4.0,0.75,1.0,0.6450375616550446,0.7097836133667517
pixel_25,0.25,Tree,4.0,1.0,1.0,0.6062887459993362,0.9372513954765248
pixel_25,0.25,Traffic Cone,3.0,0.3333333333333333,1.0,0.5828984975814819,0.6043869812899237
pixel_25,0.25,Motorcycle,2.0,1.0,1.0,0.6715854406356812,0.7035470065932521
pixel_25,0.25,Stairs,2.0,0.5,1.0,0.5970989167690277,0.6182992644747303
pixel_25,0.25,Person,1.0,1.0,1.0,0.6692895889282227,0.8710560736222751
pixel_25,0.25,Truck,1.0,1.0,1.0,0.7324351668357849,0.9269013960739105
pixel_50,0.5,Guard rail,4.0,0.0,0.0,0.5211621671915054,0.3662897697008364
pixel_50,0.5,Bus,2.0,0.0,0.0,0.6019817888736725,0.49777167897891866
pixel_50,0.5,Chair,2.0,0.0,0.0,0.49300019443035126,0.4095483076107572
pixel_50,0.5,Electrical Box,2.0,0.0,0.0,0.6082763969898224,0.2386804372151488
pixel_50,0.5,Pedestrian crosswalk,2.0,0.0,0.0,0.5073731541633606,0.47008517362144386
pixel_50,0.5,Traffic sign,2.0,0.0,0.0,0.5702745318412781,0.31253081987707326
pixel_50,0.5,Bench,1.0,0.0,0.0,0.5398038625717163,0.24177607019159716
pixel_50,0.5,Building,1.0,0.0,0.0,0.6188021898269653,0.41964221566793414
pixel_50,0.5,Manhole,6.0,0.5,0.5,0.6211211780707041,0.6442882828269086
pixel_50,0.5,Dog,4.0,0.5,0.5,0.5915581956505775,0.47753578817395537
